video_tiled_high_dash_track13_1.m4s,75
video_tiled_high_dash_track2_6.m4s,19
video_tiled_high_dash_track20_2.m4s,181
video_tiled_high_dash_track4_init.mp4,1
video_tiled_high_dash_track19_2.m4s,103
video_tiled_high_dash_track5_2.m4s,10
video_tiled_high_dash_track7_init.mp4,1
video_tiled_high_dash_track12_3.m4s,47
video_tiled_high_dash_track2_1.m4s,8
video_tiled_high_dash_track5_init.mp4,1
video_tiled_high_dash_track14_4.m4s,49
video_tiled_high_dash_track8_init.mp4,1
video_tiled_high_dash_track22_4.m4s,114
video_tiled_high_dash_track11_3.m4s,15
video_tiled_high_dash_track15_1.m4s,82
video_tiled_high_dash_track15_2.m4s,61
video_tiled_high_dash_track2_5.m4s,9
video_tiled_high_dash_track7_5.m4s,14
video_tiled_high_dash_track10_2.m4s,12
video_tiled_high_dash_track25_1.m4s,38
video_tiled_high_dash_track20_6.m4s,127
video_tiled_high_dash_track21_1.m4s,261
video_tiled_high_dash_track10_5.m4s,15
video_tiled_high_dash_track13_init.mp4,1
video_tiled_high_dash_track5_5.m4s,13
video_tiled_high_dash_track9_4.m4s,11
video_tiled_high_dash_track6_1.m4s,13
video_tiled_high_dash_track6_6.m4s,18
video_tiled_high_dash_track21_init.mp4,1
video_tiled_high_dash_track15_init.mp4,1
video_tiled_high_dash_track1_1.m4s,1
video_tiled_high_dash_track19_4.m4s,93
video_tiled_high_dash_track14_6.m4s,53
video_tiled_high_dash_track8_4.m4s,9
video_tiled_high_dash_track2_4.m4s,7
video_tiled_high_dash_track12_5.m4s,46
video_tiled_high_dash_track1_3.m4s,1
video_tiled_high_dash_track18_3.m4s,102
video_tiled_high_dash_track17_1.m4s,135
video_tiled_high_dash_track1_2.m4s,1
video_tiled_high_dash_track8_3.m4s,12
video_tiled_high_dash_track3_5.m4s,9
video_tiled_high_dash_track12_6.m4s,76
video_tiled_high_dash_track7_2.m4s,10
video_tiled_high_dash_track12_1.m4s,115
video_tiled_high_dash_track24_4.m4s,101
video_tiled_high_dash_track25_3.m4s,80
video_tiled_high_dash_track3_1.m4s,8
video_tiled_high_dash_track19_6.m4s,111
video_tiled_high_dash_track18_5.m4s,120
video_tiled_high_dash_track3_3.m4s,8
video_tiled_high_dash_track20_3.m4s,119
video_tiled_high_dash_track9_5.m4s,14
video_tiled_high_dash_track12_init.mp4,1
video_tiled_high_dash_track11_1.m4s,16
video_tiled_high_dash_track19_init.mp4,1
video_tiled_high_dash_track22_6.m4s,93
video_tiled_high_dash_track20_1.m4s,249
video_tiled_high_dash_track2_3.m4s,7
video_tiled_high_dash_track23_1.m4s,22
video_tiled_high_dash_track5_4.m4s,9
video_tiled_high_dash_track10_3.m4s,15
video_tiled_high_dash_track5_6.m4s,18
video_tiled_high_dash_track23_3.m4s,62
video_tiled_high_dash_track14_1.m4s,75
video_tiled_high_dash_track13_3.m4s,93
video_tiled_high_dash_track13_5.m4s,72
video_tiled_high_dash_track16_5.m4s,41
video_tiled_high_dash_track22_init.mp4,1
video_tiled_high_dash_track24_2.m4s,95
video_tiled_high_dash_track4_2.m4s,8
video_tiled_high_dash_track25_4.m4s,110
video_tiled_high_dash_track24_6.m4s,89
video_tiled_high_dash_track25_5.m4s,108
dash_set1_init.mp4,2
video_tiled_high_dash_track5_3.m4s,12
video_tiled_high_dash_track26_2.m4s,108
video_tiled_high_dash_track17_4.m4s,121
video_tiled_high_dash_track26_6.m4s,80
video_tiled_high_dash_track14_3.m4s,70
video_tiled_high_dash_track17_5.m4s,106
video_tiled_high_dash_track6_5.m4s,13
video_tiled_high_dash_track21_4.m4s,110
dash.mpd,2
video_tiled_high_dash_track21_5.m4s,90
video_tiled_high_dash_track4_3.m4s,9
video_tiled_high_dash_track14_2.m4s,49
video_tiled_high_dash_track23_6.m4s,86
video_tiled_high_dash_track24_1.m4s,21
video_tiled_high_dash_track5_1.m4s,12
video_tiled_high_dash_track24_5.m4s,101
video_tiled_high_dash_track4_5.m4s,10
video_tiled_high_dash_track6_4.m4s,9
video_tiled_high_dash_track11_2.m4s,13
video_tiled_high_dash_track18_6.m4s,88
video_tiled_high_dash_track25_2.m4s,111
video_tiled_high_dash_track13_2.m4s,64
video_tiled_high_dash_track18_1.m4s,72
video_tiled_high_dash_track15_3.m4s,64
video_tiled_high_dash_track10_4.m4s,11
video_tiled_high_dash_track22_5.m4s,115
video_tiled_high_dash_track16_6.m4s,61
video_tiled_high_dash_track3_init.mp4,1
video_tiled_high_dash_track2_2.m4s,6
video_tiled_high_dash_track18_init.mp4,1
video_tiled_high_dash_track18_4.m4s,126
video_tiled_high_dash_track9_init.mp4,1
